Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CFFA,CF Finance Acquisition Corp.,9.9853," 358,702,092 ",n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/cffa
WPRT,Westport Fuel Systems Inc,2.7," 360,128,427 ",n/a,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/wprt
IIIN,"Insteel Industries, Inc.",18.76," 361,160,147 ",n/a,n/a,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/iiin
ACOR,"Acorda Therapeutics, Inc.",7.53," 362,189,649 ",n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor
HIMX,"Himax Technologies, Inc.",3.35," 362,323,699 ",108156328,2006,Technology,Semiconductors,https://www.nasdaq.com/symbol/himx
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,51.51," 363,645,920 ",7059715,2006,Transportation,Aerospace,https://www.nasdaq.com/symbol/omab
NYNY,"Empire Resorts, Inc.",10.57," 363,750,262 ",n/a,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/nyny
GTYH,"GTY Technology Holdings, Inc.",7.57," 366,543,147 ",n/a,2016,Technology,EDP Services,https://www.nasdaq.com/symbol/gtyh
UXIN,Uxin Limited,2.02," 366,688,560 ",181528990,2018,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/uxin
AMRS,"Amyris, Inc.",3.93," 367,468,590 ",n/a,2010,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amrs
ASMB,"Assembly Biosciences, Inc.",14.53," 371,982,225 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/asmb
OSBC,"Old Second Bancorp, Inc.",12.46," 372,510,751 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/osbc
TUR,iShares MSCI Turkey ETF,22.6," 372,900,000 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tur
BDSI,"BioDelivery Sciences International, Inc.",4.27," 373,275,940 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bdsi
BCRX,"BioCryst Pharmaceuticals, Inc.",3.39," 373,960,802 ",n/a,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/bcrx
ACAM,Acamar Partners Acquisition Corp.,9.8," 374,327,190 ",n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam
UBX,"Unity Biotechnology, Inc.",8.73," 374,579,411 ",n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ubx
OXFD,Oxford Immunotec Global PLC,14.07," 374,586,412 ",n/a,2013,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/oxfd
PRTA,Prothena Corporation plc,9.4," 374,726,873 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/prta
MITK,"Mitek Systems, Inc.",9.45," 376,557,250 ",n/a,n/a,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/mitk
EOLS,"Evolus, Inc.",13.79," 377,473,725 ",n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/eols
VLGEA,"Village Super Market, Inc.",26.22," 377,598,494 ",n/a,n/a,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/vlgea
TAST,"Carrols Restaurant Group, Inc.",8.51," 377,601,593 ",n/a,2006,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/tast
WRLS,Pensare Acquisition Corp.,10.5," 378,170,205 ",n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/wrls
BCOV,Brightcove Inc.,10.03," 379,534,257 ",n/a,2012,Technology,EDP Services,https://www.nasdaq.com/symbol/bcov
CPSI,"Computer Programs and Systems, Inc.",26.46," 379,838,063 ",n/a,2002,Technology,EDP Services,https://www.nasdaq.com/symbol/cpsi
CSWC,Capital Southwest Corporation,21.72," 380,116,464 ",n/a,n/a,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/cswc
MCFT,"MasterCraft Boat Holdings, Inc.",20.36," 381,227,257 ",n/a,2015,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/mcft
FINX,Global X FinTech ETF,28.89," 381,394,166 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/finx
TCGP,The Carlyle Group L.P.,23.85," 381,600,000 ",n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/tcgp
KE,"Kimball Electronics, Inc.",15.02," 381,790,481 ",n/a,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/ke
HAYN,"Haynes International, Inc.",30.53," 382,097,604 ",n/a,2007,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/hayn
GDEN,"Golden Entertainment, Inc.",13.82," 383,513,403 ",n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/gden
GOGO,Gogo Inc.,4.37," 383,676,609 ",n/a,2013,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/gogo
