As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Dec 27, 2018","2,040.71",105.98,--,"533,100,000.00"
"Dec 26, 2018","2,036.14",105.74,--,"534,100,000.00"
"Dec 24, 2018","2,040.97",105.99,--,"534,100,000.00"
"Dec 21, 2018","2,037.24",105.80,--,"533,500,000.00"
"Dec 20, 2018","2,038.08",105.84,--,"530,000,000.00"
"Dec 19, 2018","2,041.66",106.03,--,"529,800,000.00"
"Dec 18, 2018","2,036.58",105.76,0.21,"529,200,000.00"
"Dec 17, 2018","2,031.59",105.72,--,"528,000,000.00"
"Dec 14, 2018","2,028.05",105.53,--,"526,300,000.00"
"Dec 13, 2018","2,025.62",105.41,--,"522,600,000.00"
"Dec 12, 2018","2,025.25",105.38,--,"521,400,000.00"
"Dec 11, 2018","2,026.00",105.42,--,"518,700,000.00"
"Dec 10, 2018","2,027.15",105.49,--,"518,200,000.00"
"Dec 07, 2018","2,026.85",105.47,--,"518,000,000.00"
"Dec 06, 2018","2,023.08",105.28,--,"517,800,000.00"
"Dec 04, 2018","2,019.77",105.10,--,"516,000,000.00"
"Dec 03, 2018","2,013.34",104.77,0.25,"511,800,000.00"
"Nov 30, 2018","2,009.68",104.83,--,"511,200,000.00"
"Nov 29, 2018","2,008.62",104.77,--,"511,000,000.00"
"Nov 28, 2018","2,008.49",104.76,--,"514,300,000.00"
"Nov 27, 2018","2,006.86",104.68,--,"514,200,000.00"
"Nov 26, 2018","2,006.20",104.64,--,"514,000,000.00"
"Nov 23, 2018","2,006.99",104.69,--,"514,000,000.00"
"Nov 21, 2018","2,006.25",104.65,--,"513,800,000.00"
"Nov 20, 2018","2,006.50",104.66,--,"513,600,000.00"
"Nov 19, 2018","2,007.60",104.72,--,"513,100,000.00"
"Nov 16, 2018","2,006.44",104.66,--,"512,700,000.00"
"Nov 15, 2018","2,000.76",104.36,--,"511,200,000.00"
"Nov 14, 2018","2,001.98",104.43,--,"510,700,000.00"
"Nov 13, 2018","2,000.35",104.34,--,"510,700,000.00"
"Nov 12, 2018","1,997.14",104.20,--,"510,700,000.00"
"Nov 09, 2018","1,997.14",104.18,--,"510,500,000.00"
"Nov 08, 2018","1,993.64",103.99,--,"509,300,000.00"
"Nov 07, 2018","1,995.77",104.10,--,"509,100,000.00"
"Nov 06, 2018","1,994.20",104.02,--,"508,800,000.00"
"Nov 05, 2018","1,994.12",104.02,--,"508,200,000.00"
"Nov 02, 2018","1,992.10",103.91,--,"507,200,000.00"
"Nov 01, 2018","1,999.40",104.29,0.26,"503,300,000.00"
"Oct 31, 2018","1,997.76",104.47,--,"503,200,000.00"
"Oct 30, 2018","2,002.30",104.71,--,"505,200,000.00"
"Oct 29, 2018","2,005.62",104.88,--,"505,200,000.00"
"Oct 26, 2018","2,006.83",104.94,--,"505,000,000.00"
"Oct 25, 2018","2,001.92",104.69,--,"506,900,000.00"
"Oct 24, 2018","2,002.69",104.73,--,"506,900,000.00"
"Oct 23, 2018","1,999.29",104.55,--,"506,900,000.00"
"Oct 22, 2018","1,996.79",104.42,--,"508,900,000.00"
"Oct 19, 2018","1,995.99",104.38,--,"508,900,000.00"
"Oct 18, 2018","1,999.49",104.57,--,"509,900,000.00"
"Oct 17, 2018","2,000.01",104.59,--,"509,900,000.00"
"Oct 16, 2018","2,002.13",104.70,--,"509,900,000.00"
"Oct 15, 2018","2,000.96",104.64,--,"509,900,000.00"
"Oct 12, 2018","2,003.39",104.77,--,"509,900,000.00"
"Oct 11, 2018","2,004.47",104.83,--,"509,700,000.00"
"Oct 10, 2018","1,995.38",104.35,--,"511,700,000.00"
"Oct 09, 2018","1,997.73",104.48,--,"530,700,000.00"
"Oct 08, 2018","1,994.67",104.35,--,"530,700,000.00"
"Oct 05, 2018","1,994.67",104.32,--,"530,700,000.00"
"Oct 04, 2018","1,998.34",104.51,--,"530,700,000.00"
"Oct 03, 2018","2,003.02",104.76,--,"530,600,000.00"
"Oct 02, 2018","2,014.11",105.34,--,"530,500,000.00"
"Oct 01, 2018","2,011.72",105.21,0.25,"530,500,000.00"
"Sep 28, 2018","2,013.67",105.54,--,"530,500,000.00"
"Sep 27, 2018","2,013.24",105.53,--,"530,400,000.00"
"Sep 26, 2018","2,011.90",105.46,--,"530,300,000.00"
"Sep 25, 2018","2,007.26",105.22,--,"530,200,000.00"
"Sep 24, 2018","2,009.70",105.35,--,"530,100,000.00"
"Sep 21, 2018","2,010.28",105.38,--,"530,100,000.00"
"Sep 20, 2018","2,008.66",105.30,--,"530,000,000.00"
"Sep 19, 2018","2,006.63",105.19,--,"529,900,000.00"
"Sep 18, 2018","2,010.13",105.37,--,"530,600,000.00"
"Sep 17, 2018","2,015.21",105.64,--,"530,500,000.00"
"Sep 14, 2018","2,015.54",105.66,--,"530,500,000.00"
"Sep 13, 2018","2,018.47",105.81,--,"530,400,000.00"
"Sep 12, 2018","2,017.61",105.76,--,"529,800,000.00"
"Sep 11, 2018","2,015.14",105.64,--,"529,500,000.00"
"Sep 10, 2018","2,019.19",105.85,--,"529,400,000.00"
"Sep 07, 2018","2,017.69",105.77,--,"529,300,000.00"
"Sep 06, 2018","2,024.59",106.13,--,"529,100,000.00"
"Sep 05, 2018","2,021.24",105.96,--,"528,900,000.00"
"Sep 04, 2018","2,021.18",105.95,0.23,"528,800,000.00"
"Aug 31, 2018","2,026.72",106.47,--,"528,600,000.00"
"Aug 30, 2018","2,025.98",106.44,--,"528,500,000.00"
"Aug 29, 2018","2,024.04",106.33,--,"528,400,000.00"
"Aug 28, 2018","2,024.03",106.33,--,"528,300,000.00"
"Aug 27, 2018","2,027.53",106.52,--,"528,200,000.00"
"Aug 24, 2018","2,029.13",106.60,--,"528,200,000.00"
"Aug 23, 2018","2,029.58",106.62,--,"528,100,000.00"
"Aug 22, 2018","2,029.14",106.60,--,"529,000,000.00"
"Aug 21, 2018","2,027.49",106.51,--,"529,000,000.00"
"Aug 20, 2018","2,029.58",106.62,--,"528,900,000.00"
"Aug 17, 2018","2,023.86",106.32,--,"528,800,000.00"
"Aug 16, 2018","2,023.51",106.30,--,"528,800,000.00"
"Aug 15, 2018","2,024.51",106.35,--,"530,300,000.00"
"Aug 14, 2018","2,020.32",106.14,--,"530,200,000.00"
"Aug 13, 2018","2,021.74",106.21,--,"528,700,000.00"
"Aug 10, 2018","2,024.22",106.34,--,"528,600,000.00"
"Aug 09, 2018","2,017.30",105.97,--,"528,600,000.00"
"Aug 08, 2018","2,014.21",105.81,--,"528,600,000.00"
"Aug 07, 2018","2,014.03",105.81,--,"527,900,000.00"
"Aug 06, 2018","2,017.74",106.00,--,"527,900,000.00"
"Aug 03, 2018","2,015.66",105.89,--,"527,700,000.00"
"Aug 02, 2018","2,011.59",105.68,--,"527,300,000.00"
"Aug 01, 2018","2,009.79",105.59,0.25,"527,200,000.00"
"Jul 31, 2018","2,013.76",106.04,--,"527,100,000.00"
"Jul 30, 2018","2,011.77",105.94,--,"526,600,000.00"
"Jul 27, 2018","2,012.76",105.99,--,"526,500,000.00"
"Jul 26, 2018","2,011.05",105.90,--,"526,400,000.00"
"Jul 25, 2018","2,014.16",106.06,--,"526,400,000.00"
"Jul 24, 2018","2,012.33",105.97,--,"526,300,000.00"
"Jul 23, 2018","2,009.32",105.81,--,"526,100,000.00"
"Jul 20, 2018","2,016.27",106.17,--,"525,900,000.00"
"Jul 19, 2018","2,021.15",106.43,--,"525,900,000.00"
"Jul 18, 2018","2,017.98",106.26,--,"525,900,000.00"
"Jul 17, 2018","2,018.70",106.30,--,"525,900,000.00"
"Jul 16, 2018","2,019.25",106.33,--,"525,800,000.00"
"Jul 13, 2018","2,021.77",106.46,--,"525,700,000.00"
"Jul 12, 2018","2,018.74",106.30,--,"525,600,000.00"
"Jul 11, 2018","2,018.80",106.31,--,"525,600,000.00"
"Jul 10, 2018","2,015.85",106.15,--,"524,000,000.00"
"Jul 09, 2018","2,016.53",106.19,--,"523,900,000.00"
"Jul 06, 2018","2,018.09",106.27,--,"523,800,000.00"
"Jul 05, 2018","2,015.82",106.15,--,"523,600,000.00"
"Jul 03, 2018","2,014.98",106.11,--,"523,600,000.00"
"Jul 02, 2018","2,011.54",105.93,0.23,"520,600,000.00"
"Jun 29, 2018","2,013.28",106.24,--,"520,400,000.00"
"Jun 28, 2018","2,012.55",106.21,--,"520,300,000.00"
"Jun 27, 2018","2,014.46",106.31,--,"520,300,000.00"
"Jun 26, 2018","2,008.64",106.00,--,"520,000,000.00"
"Jun 25, 2018","2,008.59",106.00,--,"518,100,000.00"
"Jun 22, 2018","2,006.38",105.88,--,"516,500,000.00"
"Jun 21, 2018","2,006.86",105.91,--,"516,500,000.00"
"Jun 20, 2018","2,005.24",105.82,--,"516,400,000.00"
"Jun 19, 2018","2,008.53",106.00,--,"516,200,000.00"
"Jun 18, 2018","2,005.97",105.86,--,"516,200,000.00"
"Jun 15, 2018","2,006.59",105.90,--,"519,200,000.00"
"Jun 14, 2018","2,004.46",105.79,--,"520,300,000.00"
"Jun 13, 2018","2,000.53",105.58,--,"519,800,000.00"
"Jun 12, 2018","2,002.64",105.69,--,"519,800,000.00"
"Jun 11, 2018","2,002.02",105.66,--,"520,800,000.00"
"Jun 08, 2018","2,004.07",105.77,--,"520,700,000.00"
"Jun 07, 2018","2,004.65",105.80,--,"520,700,000.00"
"Jun 06, 2018","2,000.33",105.57,--,"520,700,000.00"
"Jun 05, 2018","2,006.30",105.88,--,"520,700,000.00"
"Jun 04, 2018","2,004.95",105.81,--,"520,600,000.00"
"Jun 01, 2018","2,008.58",106.00,0.25,"520,600,000.00"
"May 31, 2018","2,015.76",106.63,--,"521,600,000.00"
"May 30, 2018","2,014.00",106.53,--,"521,600,000.00"
"May 29, 2018","2,021.93",106.95,--,"521,600,000.00"
"May 25, 2018","2,005.31",106.07,--,"521,600,000.00"
"May 24, 2018","2,000.66",105.83,--,"522,100,000.00"
"May 23, 2018","1,997.45",105.66,--,"523,800,000.00"
"May 22, 2018","1,991.10",105.33,--,"523,800,000.00"
"May 21, 2018","1,991.00",105.32,--,"523,700,000.00"
"May 18, 2018","1,990.49",105.30,--,"523,700,000.00"
"May 17, 2018","1,986.16",105.07,--,"523,700,000.00"
"May 16, 2018","1,987.75",105.15,--,"523,600,000.00"
"May 15, 2018","1,989.01",105.22,--,"523,600,000.00"
"May 14, 2018","1,998.52",105.72,--,"523,300,000.00"
"May 11, 2018","1,999.69",105.78,--,"523,300,000.00"
"May 10, 2018","1,998.55",105.72,--,"523,100,000.00"
"May 09, 2018","1,994.86",105.53,--,"523,000,000.00"
"May 08, 2018","1,997.92",105.69,--,"522,900,000.00"
"May 07, 2018","2,000.06",105.81,--,"522,600,000.00"
"May 04, 2018","1,999.85",105.79,--,"522,400,000.00"
"May 03, 2018","1,999.47",105.77,--,"522,100,000.00"
"May 02, 2018","1,997.74",105.69,--,"522,100,000.00"
"May 01, 2018","1,996.87",105.64,0.24,"526,100,000.00"
"Apr 30, 2018","2,001.48",106.12,--,"526,100,000.00"
"Apr 27, 2018","1,999.46",106.02,--,"526,100,000.00"
"Apr 26, 2018","1,995.26",105.80,--,"525,900,000.00"
"Apr 25, 2018","1,991.69",105.61,--,"525,600,000.00"
"Apr 24, 2018","1,995.87",105.83,--,"525,300,000.00"
"Apr 23, 2018","1,997.41",105.91,--,"525,100,000.00"
"Apr 20, 2018","1,999.33",106.02,--,"522,800,000.00"
"Apr 19, 2018","2,003.40",106.23,--,"520,200,000.00"
"Apr 18, 2018","2,008.75",106.52,--,"520,100,000.00"
"Apr 17, 2018","2,014.44",106.81,--,"519,700,000.00"
"Apr 16, 2018","2,012.48",106.71,--,"519,500,000.00"
"Apr 13, 2018","2,011.83",106.68,--,"519,300,000.00"
"Apr 12, 2018","2,011.59",106.66,--,"514,500,000.00"
"Apr 11, 2018","2,015.81",106.89,--,"514,200,000.00"
"Apr 10, 2018","2,014.48",106.82,--,"514,200,000.00"
"Apr 09, 2018","2,015.42",106.86,--,"512,600,000.00"
"Apr 06, 2018","2,015.39",106.86,--,"512,200,000.00"
"Apr 05, 2018","2,009.57",106.56,--,"511,300,000.00"
"Apr 04, 2018","2,012.60",106.72,--,"510,900,000.00"
"Apr 03, 2018","2,012.77",106.73,--,"510,900,000.00"
"Apr 02, 2018","2,017.56",106.97,0.24,"510,800,000.00"
"Mar 29, 2018","2,016.48",107.15,--,"510,800,000.00"
"Mar 28, 2018","2,012.11",106.93,--,"510,600,000.00"
"Mar 27, 2018","2,011.08",106.88,--,"510,600,000.00"
"Mar 26, 2018","2,005.29",106.57,--,"510,500,000.00"
"Mar 23, 2018","2,005.99",106.61,--,"510,400,000.00"
"Mar 22, 2018","2,005.96",106.61,--,"510,200,000.00"
"Mar 21, 2018","1,999.29",106.26,--,"510,200,000.00"
"Mar 20, 2018","2,001.88",106.39,--,"508,800,000.00"
"Mar 19, 2018","2,005.93",106.61,--,"508,700,000.00"
"Mar 16, 2018","2,005.40",106.58,--,"508,300,000.00"
"Mar 15, 2018","2,007.15",106.67,--,"508,000,000.00"
"Mar 14, 2018","2,008.21",106.73,--,"507,700,000.00"
"Mar 13, 2018","2,005.04",106.56,--,"507,300,000.00"
"Mar 12, 2018","2,003.48",106.48,--,"507,000,000.00"
"Mar 09, 2018","2,000.94",106.35,--,"504,500,000.00"
"Mar 08, 2018","2,003.20",106.47,--,"504,100,000.00"
"Mar 07, 2018","2,001.15",106.36,--,"504,000,000.00"
"Mar 06, 2018","2,002.32",106.42,--,"503,800,000.00"
"Mar 05, 2018","2,001.22",106.36,--,"511,300,000.00"
"Mar 02, 2018","2,003.27",106.47,--,"513,100,000.00"
"Mar 01, 2018","2,009.14",106.78,0.24,"512,700,000.00"
"Feb 28, 2018","2,003.63",106.72,--,"517,100,000.00"
"Feb 27, 2018","1,999.70",106.51,--,"517,300,000.00"
"Feb 26, 2018","2,004.42",106.77,--,"503,300,000.00"
"Feb 23, 2018","2,002.87",106.68,--,"503,200,000.00"
"Feb 22, 2018","1,998.36",106.45,--,"503,200,000.00"
"Feb 21, 2018","1,996.33",106.34,--,"502,600,000.00"
"Feb 20, 2018","2,001.38",106.61,--,"502,500,000.00"
"Feb 16, 2018","2,002.96",106.70,--,"501,700,000.00"
"Feb 15, 2018","2,000.76",106.57,--,"501,400,000.00"
"Feb 14, 2018","1,997.24",106.40,--,"501,400,000.00"
"Feb 13, 2018","2,005.19",106.82,--,"501,300,000.00"
"Feb 12, 2018","2,004.93",106.81,--,"502,300,000.00"
"Feb 09, 2018","2,007.17",106.93,--,"501,600,000.00"
"Feb 08, 2018","2,006.52",106.90,--,"501,300,000.00"
"Feb 07, 2018","2,009.05",107.03,--,"500,300,000.00"
"Feb 06, 2018","2,016.27",107.42,--,"499,800,000.00"
"Feb 05, 2018","2,015.15",107.35,--,"499,700,000.00"
"Feb 02, 2018","2,009.11",107.04,--,"499,200,000.00"
"Feb 01, 2018","2,017.33",107.48,0.24,"497,300,000.00"
"Jan 31, 2018","2,022.80",108.01,--,"496,100,000.00"
"Jan 30, 2018","2,021.30",107.93,--,"496,100,000.00"
"Jan 29, 2018","2,024.37",108.09,--,"495,000,000.00"
"Jan 26, 2018","2,026.96",108.23,--,"494,600,000.00"
"Jan 25, 2018","2,031.16",108.45,--,"490,600,000.00"
"Jan 24, 2018","2,026.10",108.18,--,"490,600,000.00"
"Jan 23, 2018","2,029.05",108.35,--,"490,600,000.00"
"Jan 22, 2018","2,025.07",108.14,--,"492,600,000.00"
"Jan 19, 2018","2,027.27",108.26,--,"493,000,000.00"
"Jan 18, 2018","2,030.32",108.42,--,"493,000,000.00"
"Jan 17, 2018","2,033.68",108.60,--,"493,000,000.00"
"Jan 16, 2018","2,037.33",108.80,--,"493,000,000.00"
"Jan 12, 2018","2,036.17",108.74,--,"492,800,000.00"
"Jan 11, 2018","2,036.71",108.76,--,"492,500,000.00"
"Jan 10, 2018","2,033.97",108.62,--,"492,600,000.00"
"Jan 09, 2018","2,033.83",108.61,--,"492,500,000.00"
"Jan 08, 2018","2,039.97",108.94,--,"492,100,000.00"
"Jan 05, 2018","2,039.83",108.93,--,"492,100,000.00"
"Jan 04, 2018","2,042.00",109.05,--,"491,600,000.00"
"Jan 03, 2018","2,042.81",109.09,--,"486,300,000.00"
"Jan 02, 2018","2,040.48",108.96,--,"485,200,000.00"
"Dec 29, 2017","2,046.37",109.26,--,"485,200,000.00"
"Dec 28, 2017","2,043.55",109.12,--,"483,700,000.00"
"Dec 27, 2017","2,044.89",109.20,--,"483,300,000.00"
"Dec 26, 2017","2,038.66",108.86,--,"483,100,000.00"
"Dec 22, 2017","2,035.93",108.72,--,"483,100,000.00"
"Dec 21, 2017","2,036.38",108.75,0.04,"482,800,000.00"
"Dec 20, 2017","2,033.90",108.65,--,"481,700,000.00"
"Dec 19, 2017","2,037.67",108.85,--,"481,500,000.00"
"Dec 18, 2017","2,044.98",109.24,--,"481,300,000.00"
"Dec 15, 2017","2,048.32",109.42,--,"481,000,000.00"
"Dec 14, 2017","2,048.67",109.44,--,"481,000,000.00"
"Dec 13, 2017","2,047.54",109.38,--,"481,000,000.00"
"Dec 12, 2017","2,041.21",109.04,--,"481,500,000.00"
"Dec 11, 2017","2,042.10",109.09,--,"480,000,000.00"
"Dec 08, 2017","2,042.43",109.11,--,"479,900,000.00"
"Dec 07, 2017","2,042.53",109.12,--,"479,600,000.00"
"Dec 06, 2017","2,046.82",109.35,--,"479,300,000.00"
"Dec 05, 2017","2,044.26",109.21,--,"479,100,000.00"
"Dec 04, 2017","2,041.60",109.07,--,"479,100,000.00"
"Dec 01, 2017","2,042.83",109.14,0.23,"479,100,000.00"
"Nov 30, 2017","2,037.02",109.05,--,"478,900,000.00"
"Nov 29, 2017","2,040.31",109.23,--,"478,900,000.00"
"Nov 28, 2017","2,044.07",109.43,--,"478,500,000.00"
"Nov 27, 2017","2,044.57",109.45,--,"477,800,000.00"
"Nov 24, 2017","2,043.38",109.39,--,"477,800,000.00"
"Nov 22, 2017","2,044.93",109.47,--,"477,300,000.00"
"Nov 21, 2017","2,040.18",109.22,--,"477,000,000.00"
"Nov 20, 2017","2,038.47",109.13,--,"476,800,000.00"
"Nov 17, 2017","2,039.59",109.19,--,"476,300,000.00"
"Nov 16, 2017","2,038.78",109.15,--,"476,100,000.00"
"Nov 15, 2017","2,040.83",109.25,--,"474,400,000.00"
"Nov 14, 2017","2,036.88",109.04,--,"474,100,000.00"
"Nov 13, 2017","2,034.96",108.94,--,"474,100,000.00"
"Nov 10, 2017","2,034.69",108.93,--,"472,600,000.00"
"Nov 09, 2017","2,041.94",109.32,--,"470,600,000.00"
"Nov 08, 2017","2,044.14",109.43,--,"470,400,000.00"
"Nov 07, 2017","2,046.23",109.55,--,"470,100,000.00"
"Nov 06, 2017","2,045.41",109.50,--,"470,100,000.00"
"Nov 03, 2017","2,042.78",109.37,--,"470,100,000.00"
"Nov 02, 2017","2,042.32",109.34,--,"470,100,000.00"
"Nov 01, 2017","2,039.51",109.19,0.23,"469,900,000.00"
"Oct 31, 2017","2,039.64",109.42,--,"469,000,000.00"
"Oct 30, 2017","2,040.18",109.46,--,"468,800,000.00"
"Oct 27, 2017","2,033.79",109.12,--,"468,600,000.00"
"Oct 26, 2017","2,030.60",108.95,--,"467,400,000.00"
"Oct 25, 2017","2,031.50",109.00,--,"467,400,000.00"
"Oct 24, 2017","2,035.11",109.19,--,"466,300,000.00"
"Oct 23, 2017","2,037.83",109.33,--,"466,300,000.00"
"Oct 20, 2017","2,035.91",109.23,--,"466,300,000.00"
"Oct 19, 2017","2,041.15",109.52,--,"465,900,000.00"
"Oct 18, 2017","2,039.37",109.42,--,"465,700,000.00"
"Oct 17, 2017","2,043.58",109.64,--,"463,400,000.00"
"Oct 16, 2017","2,042.54",109.59,--,"462,700,000.00"
"Oct 13, 2017","2,045.11",109.73,--,"462,100,000.00"
"Oct 12, 2017","2,040.70",109.49,--,"460,300,000.00"
"Oct 11, 2017","2,038.67",109.38,--,"460,100,000.00"
"Oct 10, 2017","2,038.55",109.38,--,"459,800,000.00"
"Oct 09, 2017",--,109.23,--,"459,800,000.00"
"Oct 06, 2017","2,035.35",109.21,--,"459,800,000.00"
"Oct 05, 2017","2,037.37",109.32,--,"459,600,000.00"
"Oct 04, 2017","2,039.36",109.43,--,"459,500,000.00"
"Oct 03, 2017","2,039.48",109.43,--,"459,500,000.00"
"Oct 02, 2017","2,038.36",109.37,0.23,"459,500,000.00"
"Sep 29, 2017","2,038.46",109.59,--,"459,300,000.00"
"Sep 28, 2017","2,038.55",109.61,--,"459,300,000.00"
"Sep 27, 2017","2,036.98",109.53,--,"459,100,000.00"
"Sep 26, 2017","2,044.52",109.93,--,"459,000,000.00"
"Sep 25, 2017","2,045.01",109.96,--,"459,000,000.00"
"Sep 22, 2017","2,040.42",109.71,--,"457,800,000.00"
"Sep 21, 2017","2,038.72",109.62,--,"457,800,000.00"
"Sep 20, 2017","2,038.38",109.60,--,"457,800,000.00"
"Sep 19, 2017","2,041.26",109.75,--,"457,700,000.00"
"Sep 18, 2017","2,041.44",109.76,--,"457,600,000.00"
"Sep 15, 2017","2,043.48",109.87,--,"457,600,000.00"
"Sep 14, 2017","2,043.48",109.87,--,"457,600,000.00"
"Sep 13, 2017","2,042.84",109.84,--,"457,600,000.00"
"Sep 12, 2017","2,044.49",109.93,--,"457,600,000.00"
"Sep 11, 2017","2,047.90",110.11,--,"457,200,000.00"
"Sep 08, 2017","2,053.83",110.43,--,"457,200,000.00"
"Sep 07, 2017","2,054.45",110.46,--,"455,800,000.00"
"Sep 06, 2017","2,049.61",110.21,--,"455,600,000.00"
"Sep 05, 2017","2,053.60",110.41,--,"455,300,000.00"
"Sep 01, 2017","2,044.52",109.93,0.23,"455,000,000.00"
"Aug 31, 2017","2,048.21",110.35,--,"454,700,000.00"
"Aug 30, 2017","2,045.43",110.20,--,"454,600,000.00"
"Aug 29, 2017","2,045.93",110.23,--,"454,500,000.00"
"Aug 28, 2017","2,044.46",110.15,--,"454,500,000.00"
"Aug 25, 2017","2,043.17",110.08,--,"454,200,000.00"
"Aug 24, 2017","2,040.89",109.96,--,"454,200,000.00"
"Aug 23, 2017","2,042.86",110.07,--,"453,400,000.00"
"Aug 22, 2017","2,038.65",109.84,--,"452,900,000.00"
"Aug 21, 2017","2,041.43",109.99,--,"451,500,000.00"
"Aug 18, 2017","2,039.82",109.91,--,"450,500,000.00"
"Aug 17, 2017","2,039.85",109.91,--,"449,800,000.00"
"Aug 16, 2017","2,037.33",109.77,--,"449,100,000.00"
"Aug 15, 2017","2,033.06",109.54,--,"448,900,000.00"
"Aug 14, 2017","2,037.06",109.76,--,"448,900,000.00"
"Aug 11, 2017","2,038.35",109.83,--,"447,400,000.00"
"Aug 10, 2017","2,036.83",109.75,--,"447,400,000.00"
"Aug 09, 2017","2,035.46",109.67,--,"447,000,000.00"
"Aug 08, 2017","2,031.74",109.47,--,"445,300,000.00"
"Aug 07, 2017","2,034.56",109.62,--,"445,300,000.00"
"Aug 04, 2017","2,033.38",109.56,--,"444,900,000.00"
"Aug 03, 2017","2,037.50",109.78,--,"443,200,000.00"
"Aug 02, 2017","2,034.06",109.60,--,"443,200,000.00"
"Aug 01, 2017","2,034.75",109.63,0.23,"443,000,000.00"
"Jul 31, 2017","2,030.01",109.60,--,"442,800,000.00"
"Jul 28, 2017","2,030.05",109.61,--,"442,800,000.00"
"Jul 27, 2017","2,027.29",109.46,--,"442,400,000.00"
"Jul 26, 2017","2,029.59",109.58,--,"442,300,000.00"
"Jul 25, 2017","2,024.71",109.32,--,"441,500,000.00"
"Jul 24, 2017","2,032.27",109.73,--,"441,200,000.00"
"Jul 21, 2017","2,034.31",109.83,--,"441,000,000.00"
"Jul 20, 2017","2,030.64",109.64,--,"440,800,000.00"
"Jul 19, 2017","2,029.88",109.60,--,"440,600,000.00"
"Jul 18, 2017","2,029.63",109.59,--,"440,400,000.00"
"Jul 17, 2017","2,025.01",109.33,--,"440,000,000.00"
"Jul 14, 2017","2,023.05",109.23,--,"439,800,000.00"
"Jul 13, 2017","2,020.70",109.10,--,"439,600,000.00"
"Jul 12, 2017","2,022.50",109.20,--,"439,400,000.00"
"Jul 11, 2017","2,017.90",108.95,--,"439,200,000.00"
"Jul 10, 2017","2,016.92",108.90,--,"438,100,000.00"
"Jul 07, 2017","2,013.89",108.74,--,"437,900,000.00"
"Jul 06, 2017","2,015.95",108.85,--,"436,500,000.00"
"Jul 05, 2017","2,019.15",109.02,--,"434,500,000.00"
"Jul 03, 2017","2,017.40",108.93,0.23,"434,500,000.00"
"Jun 30, 2017","2,021.31",109.36,--,"433,600,000.00"
"Jun 29, 2017","2,024.24",109.52,--,"427,500,000.00"
"Jun 28, 2017","2,028.06",109.73,--,"422,300,000.00"
"Jun 27, 2017","2,029.25",109.80,--,"422,100,000.00"
