symbol,date,nav,shares
FXC,2020-03-02,73.9800033569336,0.0
FXC,2020-03-03,73.76000213623047,0.0
FXC,2020-03-04,73.62999725341797,0.0
FXC,2020-03-05,73.51000213623047,0.0
FXC,2020-03-06,73.52999877929688,0.0
FXC,2020-03-09,72.18000030517578,0.0
FXC,2020-03-10,71.7699966430664,0.0
FXC,2020-03-11,71.76000213623047,0.0
FXC,2020-03-12,71.12000274658203,0.0
FXC,2020-03-13,71.30000305175781,0.0
FXC,2020-03-16,70.5,0.0
FXC,2020-03-17,69.29000091552734,0.0
FXC,2020-03-18,68.37000274658203,0.0
FXC,2020-03-19,68.06999969482422,0.0
FXC,2020-03-20,68.45999908447266,0.0
FXC,2020-03-23,67.87999725341797,0.0
FXC,2020-03-24,68.08999633789062,0.0
FXC,2020-03-25,69.44999694824219,0.0
FXC,2020-03-26,70.2300033569336,0.0
FXC,2020-03-27,70.52999877929688,0.0
FXC,2020-03-30,69.77999877929688,0.0
FXC,2020-03-31,70.08000183105469,0.0
FXC,2020-04-01,69.37999725341797,0.0
FXC,2020-04-02,69.54000091552734,0.0
FXC,2020-04-03,69.7300033569336,0.0
FXC,2020-04-06,69.9000015258789,0.0
FXC,2020-04-07,70.55999755859375,0.0
FXC,2020-04-08,70.26000213623047,0.0
FXC,2020-04-09,70.61000061035156,0.0
FXE,2010-01-04,143.54415893554688,0.0
FXE,2010-01-05,143.14503479003906,0.0
FXE,2010-01-06,143.5740966796875,0.0
FXE,2010-01-07,142.65609741210938,0.0
FXE,2010-01-08,143.5940399169922,0.0
FXE,2010-01-11,144.62181091308594,0.0
FXE,2010-01-12,144.3324432373047,0.0
FXE,2010-01-13,144.51205444335938,0.0
FXE,2010-01-14,144.44215393066406,0.0
FXE,2010-01-15,143.23486328125,0.0
FXE,2010-01-19,142.466552734375,0.0
FXE,2010-01-20,140.47091674804688,0.0
FXE,2010-01-21,140.39111328125,0.0
FXE,2010-01-22,140.83013916015625,0.0
FXE,2010-01-25,140.94985961914062,0.0
FXE,2010-01-26,140.24142456054688,0.0
FXE,2010-01-27,139.65272521972656,0.0
FXE,2010-01-28,139.15380859375,0.0
FXE,2010-01-29,138.08619689941406,0.0
FXE,2010-02-01,138.74473571777344,0.0
FXE,2010-02-02,139.07400512695312,0.0
FXE,2010-02-03,138.4054718017578,0.0
FXE,2010-02-04,136.85888671875,0.0
FXE,2010-02-05,136.10052490234375,0.0
FXE,2010-02-08,136.0706024169922,0.0
FXE,2010-02-09,137.21807861328125,0.0
FXE,2010-02-10,136.75909423828125,0.0
FXE,2010-02-11,136.2901153564453,0.0
FXE,2010-02-12,135.57168579101562,0.0
FXE,2010-02-16,137.10833740234375,0.0
FXE,2010-02-17,135.52178955078125,0.0
FXE,2010-02-18,135.56173706054688,0.0
FXE,2010-02-19,135.3521728515625,0.0
FXE,2010-02-22,135.402099609375,0.0
FXE,2010-02-23,134.45416259765625,0.0
FXE,2010-02-24,134.7534942626953,0.0
FXE,2010-02-25,134.9730224609375,0.0
FXE,2010-02-26,135.55177307128906,0.0
FXE,2010-03-01,135.02294921875,0.0
FXE,2010-03-02,135.52178955078125,0.0
FXE,2010-03-03,136.3499755859375,0.0
FXE,2010-03-04,135.34219360351562,0.0
FXE,2010-03-05,135.6116180419922,0.0
FXE,2010-03-08,135.70143127441406,0.0
FXE,2010-03-09,135.4120635986328,0.0
FXE,2010-03-10,135.9209442138672,0.0
FXE,2010-03-11,136.1803741455078,0.0
FXE,2010-03-12,136.99855041503906,0.0
FXE,2010-03-15,136.1404571533203,0.0
FXE,2010-03-16,137.16818237304688,0.0
FXE,2010-03-17,136.8090057373047,0.0
FXE,2010-03-18,135.50186157226562,0.0
FXE,2010-03-19,134.76348876953125,0.0
FXE,2010-03-22,134.9131622314453,0.0
FXE,2010-03-23,134.3743133544922,0.0
FXE,2010-03-24,132.6481475830078,0.0
FXE,2010-03-25,132.22906494140625,0.0
FXE,2010-03-26,133.50625610351562,0.0
FXE,2010-03-29,134.16477966308594,0.0
FXE,2010-03-30,133.5361785888672,0.0
FXE,2010-03-31,134.43421936035156,0.0
FXE,2010-04-01,135.21249389648438,0.0
FXE,2010-04-05,134.18475341796875,0.0
FXE,2010-04-06,133.43637084960938,0.0
FXE,2010-04-07,132.92755126953125,0.0
FXE,2010-04-08,132.86766052246094,0.0
FXE,2010-04-09,134.2845458984375,0.0
FXE,2010-04-12,135.18255615234375,0.0
FXE,2010-04-13,135.21249389648438,0.0
FXE,2010-04-14,135.9209442138672,0.0
FXE,2010-04-15,135.17257690429688,0.0
FXE,2010-04-16,134.47415161132812,0.0
FXE,2010-04-19,134.21466064453125,0.0
FXE,2010-04-20,133.8056182861328,0.0
FXE,2010-04-21,133.35658264160156,0.0
FXE,2010-04-22,132.48849487304688,0.0
FXE,2010-04-23,133.07717895507812,0.0
FXE,2010-04-26,133.00733947753906,0.0
FXE,2010-04-27,131.14141845703125,0.0
FXE,2010-04-28,131.3409881591797,0.0
FXE,2010-04-29,131.780029296875,0.0
FXE,2010-04-30,132.478515625,0.0
FXE,2010-05-03,131.32106018066406,0.0
FXE,2010-05-04,129.41522216796875,0.0
FXE,2010-05-05,127.57929229736328,0.0
FXE,2010-05-06,125.6834716796875,0.0
FXE,2010-05-07,126.68125915527344,0.0
FXE,2010-05-10,127.23006439208984,0.0
FXE,2010-05-11,126.17239379882812,0.0
FXE,2010-05-12,125.63357543945312,0.0
